"Code","Name","Disbursement","Commitment"
"31382","Fishery research","2424073.28","0"
"31391","Fishery services","172672","148969"
"321","Industry","51579665.44","42726719"
"32120","Industrial development","1172614.92","5436418"
"32130","Small and medium-sized enterprises (SME) development","34799001.78","34057871"
"32140","Cottage industries and handicraft","1260121.6","288777"
"32161","Agro-industries","9981503.14","59942"
"32162","Forest industries","374635.71","267179"
"32163","Textiles, leather and substitutes","290256","731567"
"32167","Energy manufacturing (fossil fuels)","57814","250010"
"32169","Basic metal industries","307626","0"
"32171","Engineering","434200.48","332474"
"32172","Transport equipment industry","1902195.66","0"
"32174","Clean cooking appliances manufacturing","133300","133300"
"32182","Technological research and development","866396.1500000001","1077075"
"322","Mineral Resources & Mining","9929473.24","3424163"
"32210","Mineral/mining policy and administrative management","7453908.0600000005","2224163"
"32220","Mineral prospection and exploration","2475565.18","1200000"
"323","Construction","451785.44","380844"
"32310","Construction policy and administrative management","451785.44","380844"
"331","Trade Policies & Regulations","48975448.49","53188756"
"33110","Trade policy and administrative management","25046181.490000002","21851647"
"33120","Trade facilitation","19380267","28437109"
"33130","Regional trade agreements (RTAs)","1000000","0"
"33140","Multilateral trade negotiations","3549000","2900000"
"332","Tourism","14256099.32","4317898"
"33210","Tourism policy and administrative management","14256099.32","4317898"
"140","Water Supply & Sanitation","131886046.17999998","90265371.38"
"140","Water Supply & Sanitation","131886046.17999998","90265371.38"
"14010","Water sector policy and administrative management","17606951.49","1525015"
"14015","Water resources conservation (including data collection)","2916679.0900000003","3155500"
"14020","Water supply and sanitation - large systems","21971724.81","11336523"
"14021","Water supply - large systems","153894","261564"
"14022","Sanitation - large systems","2276594.45","3648864"
"14030","Basic drinking water supply and basic sanitation","50639033.29999999","54649669"
"14031","Basic drinking water supply","24512007.86","10959716"
"14032","Basic sanitation","5552404.6","1874750"
"14040","River basins development","1294177.23","359802"
"14050","Waste management/disposal","3999540.35","1745241.38"
"14081","Education and training in water supply and sanitation","963039","748727"
